Relative Time (to start of segment),aclx 1 - Value,aclx 1 - Is positive Peak,acly 1 - Value,acly 1 - Is positive Peak,aclz 1 - Value,aclz 1 - Is positive Peak,gyrx 1 - Value,gyrx 1 - Is positive Peak,gyry 1 - Value,gyry 1 - Is positive Peak,gyrz 1 - Value,gyrz 1 - Is positive Peak,magr 1 - Value,magr 1 - Is positive Peak,magphi 1 - Value,magphi 1 - Is positive Peak,magtheta 1 - Value,magtheta 1 - Is positive Peak,
61328.600000,0.181735,1,,,,,,,,,,,,,,,,,
61329.600000,0.012094,0,,,,,,,,,,,,,,,,,
61328.900000,,,-0.122358,0,,,,,,,,,,,,,,,
61329.800000,,,-0.130933,0,,,,,,,,,,,,,,,
61328.400000,,,,,-0.129969,0,,,,,,,,,,,,,
61329.600000,,,,,0.010838,1,,,,,,,,,,,,,
61328.100000,,,,,,,-0.073562,0,,,,,,,,,,,
61328.500000,,,,,,,0.004125,1,,,,,,,,,,,
61329.600000,,,,,,,-0.230192,0,,,,,,,,,,,
61329.700000,,,,,,,,,-0.148206,0,,,,,,,,,
61328.600000,,,,,,,,,,,0.012565,1,,,,,,,
61329.200000,,,,,,,,,,,-0.021988,0,,,,,,,
61328.500000,,,,,,,,,,,,,,,-0.105545,0,,,
61328.600000,,,,,,,,,,,,,,,,,-0.228169,0,
61329.900000,,,,,,,,,,,,,,,,,0.059357,1,
